lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
126.608439,-26.282722,449.5,-57.518,1.00,-31009.7,-40481.0
126.614939,-26.285722,450.4,-57.041,1.00,-31343.2,-39831.4
126.620339,-26.288621,458.9,-57.639,1.00,-31665.6,-39291.8
126.625339,-26.291421,452.8,-57.920,1.00,-31976.9,-38792.1
126.632339,-26.294421,455.3,-58.425,1.00,-32310.5,-38092.5
126.633839,-26.295121,458.6,-58.750,1.00,-32388.4,-37942.6
126.630140,-26.299721,456.2,-60.235,1.00,-32899.9,-38312.3
126.625640,-26.304222,464.7,-61.813,1.00,-33400.3,-38762.0
126.623840,-26.306422,464.7,-61.655,1.00,-33645.0,-38941.9
126.630940,-26.307122,457.7,-62.158,1.00,-33722.8,-38232.3
126.638240,-26.308121,457.7,-62.183,1.00,-33833.9,-37502.8
126.644840,-26.308951,461.4,-61.892,1.00,-33926.2,-36843.2
126.651340,-26.312121,463.8,-61.890,1.00,-34278.7,-36193.6
126.656140,-26.314791,460.5,-61.505,1.00,-34575.6,-35713.9
126.661010,-26.319291,464.4,-62.295,1.00,-35075.9,-35227.2
126.667510,-26.322621,463.8,-61.578,1.00,-35446.2,-34577.6
126.673670,-26.325791,460.8,-61.029,1.00,-35798.7,-33962.0
126.680170,-26.327451,463.2,-60.136,1.00,-35983.3,-33312.4
126.686670,-26.330791,462.0,-59.170,1.00,-36354.7,-32662.8
126.690510,-26.332951,467.2,-58.732,1.00,-36594.9,-32279.0
126.685170,-26.338291,464.7,-61.806,1.00,-37188.6,-32812.7
126.680010,-26.343291,456.5,-63.454,1.00,-37744.6,-33328.3
126.674840,-26.349291,455.0,-64.695,1.00,-38411.8,-33845.0
126.670840,-26.354451,449.8,-65.240,1.00,-38985.6,-34244.8
126.665510,-26.359951,447.4,-65.111,1.00,-39597.1,-34777.4
126.660670,-26.365292,454.4,-64.636,1.00,-40191.0,-35261.1
126.657010,-26.369452,459.6,-64.311,1.00,-40653.6,-35626.9
126.653170,-26.375292,458.6,-63.510,1.00,-41303.0,-36010.7
126.649170,-26.380292,451.6,-63.017,1.00,-41858.9,-36410.4
126.578840,-26.353792,418.7,-68.277,1.00,-38912.3,-43439.1
126.583340,-26.348952,426.3,-67.422,1.00,-38374.1,-42989.4
126.588340,-26.343792,429.1,-66.233,1.00,-37800.3,-42489.7
126.593340,-26.338622,433.0,-66.458,1.00,-37225.5,-41990.0
126.600510,-26.330952,435.5,-65.335,1.00,-36372.6,-41273.4
126.605140,-26.325422,439.7,-63.742,1.00,-35757.7,-40810.7
126.610140,-26.325222,450.4,-62.390,1.00,-35735.4,-40311.0
126.615640,-26.314922,459.9,-61.247,1.00,-34590.1,-39761.4
126.619940,-26.310122,470.2,-62.268,1.00,-34056.4,-39331.6
126.557439,-26.252222,434.6,-60.419,1.00,-27618.2,-45577.9
126.561839,-26.247222,432.7,-58.133,1.00,-27062.2,-45138.1
126.566839,-26.241722,432.4,-55.266,1.00,-26450.7,-44638.4
126.572439,-26.236922,436.1,-51.973,1.00,-25916.9,-44078.8
126.578439,-26.231622,446.4,-49.625,1.00,-25327.6,-43479.2
126.583839,-26.226421,449.2,-46.733,1.00,-24749.3,-42939.5
126.587339,-26.223121,453.4,-43.973,1.00,-24382.3,-42589.7
126.643510,-26.385452,456.2,-63.404,1.00,-42432.7,-36976.1
126.637841,-26.390452,459.6,-63.609,1.00,-42988.7,-37542.6
126.632841,-26.395792,468.7,-64.158,1.00,-43582.5,-38042.3
126.627341,-26.400792,477.5,-64.421,1.00,-44138.4,-38592.0
126.622011,-26.406292,466.2,-64.379,1.00,-44750.0,-39124.7
126.617011,-26.411292,460.8,-62.628,1.00,-45306.0,-39624.3
126.611171,-26.416122,456.2,-61.596,1.00,-45843.1,-40208.0
126.606511,-26.421292,454.7,-60.895,1.00,-46417.9,-40673.7
126.572670,-26.351622,419.6,-68.065,1.00,-38671.0,-44055.7
126.566010,-26.349452,416.9,-68.239,1.00,-38429.7,-44721.3
126.559170,-26.347622,419.0,-69.017,1.00,-38226.2,-45404.9
126.552840,-26.344452,415.7,-68.156,1.00,-37873.7,-46037.5
126.546841,-26.343293,414.4,-69.146,1.00,-37744.8,-46637.0
126.538671,-26.340453,414.1,-70.519,1.00,-37429.1,-47453.5
126.531511,-26.339453,416.3,-70.385,1.00,-37317.9,-48169.0
126.524841,-26.338123,416.3,-69.444,1.00,-37170.0,-48835.6
126.517511,-26.335453,416.3,-69.597,1.00,-36873.1,-49568.2
126.517172,-26.442453,422.7,-62.344,1.00,-48770.9,-49602.1
126.524342,-26.445453,428.8,-61.667,1.00,-49104.5,-48885.5
126.531012,-26.447793,438.2,-60.395,1.00,-49364.7,-48218.9
126.538012,-26.450793,440.4,-58.859,1.00,-49698.3,-47519.4
126.565172,-26.449293,446.1,-57.265,1.00,-49531.5,-44805.0
126.569012,-26.445793,444.9,-57.955,1.00,-49142.3,-44421.3
126.570841,-26.440293,441.0,-58.176,1.00,-48530.8,-44238.5
126.577341,-26.439123,447.4,-58.626,1.00,-48400.7,-43588.9
126.583511,-26.435623,452.5,-59.194,1.00,-48011.5,-42972.3
126.590011,-26.432793,451.0,-59.451,1.00,-47696.8,-42322.7
126.596511,-26.429453,465.0,-60.365,1.00,-47325.4,-41673.1
126.602341,-26.425292,457.1,-59.943,1.00,-46862.7,-41090.4
126.603011,-26.423952,457.1,-60.005,1.00,-46713.7,-41023.5
126.596171,-26.420953,450.4,-60.844,1.00,-46380.2,-41707.1
126.589171,-26.417453,441.3,-61.511,1.00,-45991.1,-42406.6
126.583171,-26.414953,436.4,-62.278,1.00,-45713.1,-43006.2
126.575841,-26.411623,433.6,-64.108,1.00,-45342.8,-43738.8
126.573671,-26.407453,427.9,-64.958,1.00,-44879.1,-43955.7
126.567011,-26.406123,425.1,-65.052,1.00,-44731.2,-44621.2
